timestamp,price,high,low,volume
2025-09-25 15:38:25.023000,111150.0,113940.0,110629.99,15571.12921
2025-09-25 15:38:26.023000,111150.01,113940.0,110629.99,15571.14122
2025-09-25 15:38:27.023000,111144.27,113940.0,110629.99,15571.05611
2025-09-25 15:38:28.023000,111144.27,113940.0,110629.99,15571.06049
2025-09-25 15:38:29.023000,111161.67,113940.0,110629.99,15572.28945
2025-09-25 15:38:30.024000,111161.66,113940.0,110629.99,15572.2968
2025-09-25 15:38:31.024000,111161.67,113940.0,110629.99,15572.30391
2025-09-25 15:38:32.023000,111180.61,113940.0,110629.99,15572.75632
2025-09-25 15:38:33.023000,111180.58,113940.0,110629.99,15573.20502
2025-09-25 15:38:34.023000,111178.52,113940.0,110629.99,15573.22271
2025-09-25 15:38:35.023000,111174.82,113940.0,110629.99,15573.249
2025-09-25 15:38:36.023000,111174.82,113940.0,110629.99,15573.33899
2025-09-25 15:38:37.023000,111174.83,113940.0,110629.99,15573.34532
2025-09-25 15:38:38.023000,111172.6,113940.0,110629.99,15573.04018
2025-09-25 15:38:39.024000,111172.6,113940.0,110629.99,15572.60631
2025-09-25 15:38:40.023000,111169.85,113940.0,110629.99,15572.63749
2025-09-25 15:38:41.023000,111169.86,113940.0,110629.99,15572.28868
2025-09-25 15:38:42.023000,111169.86,113940.0,110629.99,15572.03756
2025-09-25 15:38:43.023000,111169.85,113940.0,110629.99,15570.57383
2025-09-25 15:38:44.023000,111169.85,113940.0,110629.99,15570.57132
2025-09-25 15:38:45.024000,111169.86,113940.0,110629.99,15570.0843
2025-09-25 15:38:46.023000,111169.85,113940.0,110629.99,15569.80942
2025-09-25 15:38:47.023000,111169.86,113940.0,110629.99,15568.16547
2025-09-25 15:38:48.023000,111169.85,113940.0,110629.99,15568.16341
2025-09-25 15:38:49.023000,111169.86,113940.0,110629.99,15567.68564
2025-09-25 15:38:50.024000,111169.86,113940.0,110629.99,15567.68081
2025-09-25 15:38:51.023000,111169.85,113940.0,110629.99,15567.66034
2025-09-25 15:38:52.023000,111169.86,113940.0,110629.99,15567.2313
2025-09-25 15:38:53.023000,111169.85,113940.0,110629.99,15567.27908
2025-09-25 15:38:54.023000,111169.85,113940.0,110629.99,15567.27461
2025-09-25 15:38:55.023000,111169.85,113940.0,110629.99,15566.98339
2025-09-25 15:38:56.023000,111169.85,113940.0,110629.99,15566.98289
2025-09-25 15:38:57.023000,111169.86,113940.0,110629.99,15566.9819
2025-09-25 15:38:58.023000,111169.85,113940.0,110629.99,15566.98196
2025-09-25 15:38:59.024000,111161.66,113940.0,110629.99,15567.85254
2025-09-25 15:39:00.023000,111161.66,113940.0,110629.99,15566.81103
2025-09-25 15:39:01.023000,111152.24,113940.0,110629.99,15566.9063
2025-09-25 15:39:02.023000,111152.23,113940.0,110629.99,15566.99111
2025-09-25 15:39:03.023000,111152.23,113940.0,110629.99,15566.98623
2025-09-25 15:39:04.023000,111155.87,113940.0,110629.99,15567.1277
2025-09-25 15:39:05.023000,111156.55,113940.0,110629.99,15567.14932
2025-09-25 15:39:06.023000,111156.55,113940.0,110629.99,15567.26947
2025-09-25 15:39:07.023000,111156.55,113940.0,110629.99,15567.34057
2025-09-25 15:39:08.023000,111156.55,113940.0,110629.99,15567.42984
2025-09-25 15:39:09.023000,111156.55,113940.0,110629.99,15567.27007
2025-09-25 15:39:10.023000,111156.55,113940.0,110629.99,15567.26847
2025-09-25 15:39:11.023000,111163.83,113940.0,110629.99,15567.44163
2025-09-25 15:39:12.023000,111163.84,113940.0,110629.99,15567.46599
2025-09-25 15:39:13.023000,111163.83,113940.0,110629.99,15567.28617
2025-09-25 15:39:14.024000,111169.87,113940.0,110629.99,15567.43979
2025-09-25 15:39:15.023000,111173.15,113940.0,110629.99,15567.59109
2025-09-25 15:39:16.024000,111173.15,113940.0,110629.99,15567.59417
2025-09-25 15:39:17.023000,111173.15,113940.0,110629.99,15567.25843
2025-09-25 15:39:18.023000,111183.75,113940.0,110629.99,15567.78039
2025-09-25 15:39:19.024000,111200.15,113940.0,110629.99,15568.00531
2025-09-25 15:39:20.023000,111200.15,113940.0,110629.99,15566.54479
2025-09-25 15:39:21.024000,111200.14,113940.0,110629.99,15566.63578
2025-09-25 15:39:22.023000,111200.15,113940.0,110629.99,15566.62804
2025-09-25 15:39:23.023000,111200.15,113940.0,110629.99,15566.40803
2025-09-25 15:39:24.023000,111200.15,113940.0,110629.99,15565.88116
2025-09-25 15:39:25.023000,111200.15,113940.0,110629.99,15565.90141
2025-09-25 15:39:26.023000,111200.15,113940.0,110629.99,15566.06584
2025-09-25 15:39:27.023000,111200.15,113940.0,110629.99,15566.06524
2025-09-25 15:39:28.023000,111200.15,113940.0,110629.99,15566.08557
2025-09-25 15:39:29.023000,111208.72,113940.0,110629.99,15566.28465
2025-09-25 15:39:30.023000,111208.71,113940.0,110629.99,15566.21901
2025-09-25 15:39:31.023000,111203.98,113940.0,110629.99,15567.06295
2025-09-25 15:39:32.023000,111202.02,113940.0,110629.99,15567.23502
2025-09-25 15:39:33.023000,111200.73,113940.0,110629.99,15567.24589
2025-09-25 15:39:34.023000,111200.74,113940.0,110629.99,15567.24694
2025-09-25 15:39:35.023000,111200.73,113940.0,110629.99,15567.35977
2025-09-25 15:39:36.023000,111200.74,113940.0,110629.99,15567.37793
2025-09-25 15:39:37.023000,111200.74,113940.0,110629.99,15567.38581
2025-09-25 15:39:38.023000,111200.73,113940.0,110629.99,15567.33723
2025-09-25 15:39:39.023000,111200.73,113940.0,110629.99,15567.34923
