timestamp,bid1,bid1_qty,ask1,ask1_qty,bid2,bid2_qty,ask2,ask2_qty,bid3,bid3_qty,ask3,ask3_qty,bid4,bid4_qty,ask4,ask4_qty,bid5,bid5_qty,ask5,ask5_qty
2025-09-26 07:50:42.014000,109063.54,0.0,109054.12,10.2641,109063.53,0.0,109054.13,0.0001,109062.95,0.0,109054.14,0.0,109062.39,0.0,109054.99,0.0,109062.38,0.0,109055.0,0.0
2025-09-26 07:50:43.014000,109054.11,3.02269,109054.12,10.31539,109049.27,0.32992,109056.63,5e-05,109048.43,0.10211,109057.04,0.07789,109044.11,0.4,109057.07,0.0,109037.58,0.15,109057.08,0.0
2025-09-26 07:50:44.014000,109054.11,3.51185,109054.12,10.20876,109054.1,0.00075,109056.02,0.04604,109053.02,0.0002,109056.03,0.0001,109053.01,0.0,109056.47,0.0001,109052.91,0.0,109056.48,0.09665
2025-09-26 07:50:45.014000,109054.11,5.4912,109054.12,10.25477,109054.1,0.00274,109054.13,0.00045,109052.39,0.4001,109054.14,0.0001,109051.83,0.0,109056.03,0.0,109050.87,0.32991,109058.43,0.00182
2025-09-26 07:50:46.014000,109054.11,5.30756,109054.12,9.91135,109054.1,0.00304,109057.06,0.00182,109054.09,0.00925,109060.0,0.0216,109054.08,0.0046,109060.4,0.06266,109054.06,0.00925,109061.02,2.08504
2025-09-26 07:50:47.014000,109054.11,5.51678,109054.12,9.90728,109054.1,0.00309,109054.13,0.00786,109054.04,0.00935,109054.2,0.0001,109049.27,0.32992,109056.02,0.04594,109048.66,0.04596,109056.48,0.19994
2025-09-26 07:50:48.014000,109054.11,5.47003,109054.12,9.90944,109054.1,0.00304,109060.0,0.0216,109049.27,0.32992,109060.39,0.0,109048.66,0.0,109060.4,0.0,109047.92,0.32992,109060.93,0.0001
2025-09-26 07:50:49.014000,109054.11,5.49295,109054.12,9.61606,109039.97,0.0,109060.0,0.0216,109028.8,0.0917,109060.67,0.02295,109028.79,0.0,109060.93,0.0001,109028.76,0.0,109060.94,0.0612
2025-09-26 07:50:50.014000,109054.11,5.51576,109054.12,9.59474,109054.1,0.00075,109060.67,0.02295,109041.41,0.13068,109060.93,0.0001,109041.2,0.0,109060.94,0.06234,109040.32,0.00505,109062.38,0.0
2025-09-26 07:50:51.014000,109054.11,3.75245,109054.12,9.59434,109054.1,0.00868,109054.13,0.00791,109054.04,0.00935,109055.29,0.0,109053.88,0.01839,109056.01,0.00932,109053.01,0.06407,109056.02,0.0001
